Date,State,Demand,Treated,Post
2020-05-10,Gujarat,299.7,0,0
2020-05-11,Gujarat,305.2,0,0
2020-05-13,Gujarat,301.9,0,0
2020-05-14,Gujarat,303.4,0,0
2020-05-15,Gujarat,306.3,0,0
2020-05-16,Gujarat,306.5,0,0
2020-05-17,Gujarat,299.7,0,0
2020-05-18,Gujarat,303.5,0,0
2020-05-19,Gujarat,307.0,0,0
2020-05-20,Gujarat,308.6,0,0
2020-05-21,Gujarat,316.6,0,0
2020-05-22,Gujarat,317.1,0,0
2020-05-23,Gujarat,315.2,0,0
2020-05-24,Gujarat,312.2,0,0
2020-05-25,Gujarat,319.8,0,0
2020-05-26,Gujarat,323.1,0,0
2020-05-27,Gujarat,321.1,0,0
2020-05-28,Gujarat,321.5,0,0
2020-05-29,Gujarat,323.9,0,0
2020-05-30,Gujarat,326.6,0,0
2020-05-31,Gujarat,319.2,0,0
2020-06-01,Gujarat,325.4,0,1
2020-06-02,Gujarat,314.4,0,1
2020-06-03,Gujarat,301.9,0,1
2020-06-04,Gujarat,298.3,0,1
2020-06-05,Gujarat,288.9,0,1
2020-06-06,Gujarat,279.5,0,1
2020-06-07,Gujarat,261.7,0,1
2020-06-08,Gujarat,271.0,0,1
2020-06-09,Gujarat,279.5,0,1
2020-06-10,Gujarat,289.1,0,1
2020-06-11,Gujarat,281.9,0,1
2020-06-12,Gujarat,288.0,0,1
2020-06-13,Gujarat,273.4,0,1
2020-06-14,Gujarat,263.5,0,1
2020-06-15,Gujarat,274.0,0,1
2020-06-16,Gujarat,295.2,0,1
2020-06-17,Gujarat,293.0,0,1
2020-06-18,Gujarat,304.4,0,1
2020-06-19,Gujarat,313.9,0,1
2020-06-20,Gujarat,317.2,0,1
2020-06-21,Gujarat,296.1,0,1
2020-06-22,Gujarat,306.1,0,1
2020-06-24,Gujarat,311.5,0,1
2020-06-25,Gujarat,311.2,0,1
2020-06-26,Gujarat,317.6,0,1
2020-06-27,Gujarat,321.5,0,1
2020-06-28,Gujarat,318.3,0,1
2020-06-29,Gujarat,332.3,0,1
2020-07-02,Gujarat,315.8,0,1
2020-07-03,Gujarat,323.0,0,1
2020-07-04,Gujarat,312.8,0,1
2020-07-05,Gujarat,280.3,0,1
2020-07-06,Gujarat,269.0,0,1
2020-07-07,Gujarat,261.2,0,1
2020-07-08,Gujarat,262.4,0,1
2020-07-09,Gujarat,270.8,0,1
2020-07-10,Gujarat,276.2,0,1
2020-07-11,Gujarat,271.9,0,1
2020-07-12,Gujarat,254.1,0,1
2020-07-13,Gujarat,272.2,0,1
2020-07-14,Gujarat,288.3,0,1
2020-07-15,Gujarat,286.2,0,1
2020-07-16,Gujarat,273.0,0,1
2020-07-17,Gujarat,277.4,0,1
2020-07-18,Gujarat,282.9,0,1
2020-07-19,Gujarat,281.3,0,1
2020-07-20,Gujarat,290.2,0,1
2020-07-21,Gujarat,307.4,0,1
2020-07-22,Gujarat,313.5,0,1
2020-07-23,Gujarat,321.1,0,1
2020-07-24,Gujarat,327.0,0,1
2020-07-25,Gujarat,305.4,0,1
2020-07-26,Gujarat,288.4,0,1
2020-07-27,Gujarat,308.3,0,1
2020-07-28,Gujarat,320.8,0,1
2020-07-29,Gujarat,323.9,0,1
2020-07-30,Gujarat,322.8,0,1
2020-07-31,Gujarat,316.8,0,1
